KO, 41.43, 41.43, 41.43, 42.15, 45.35, 46.83, 47.96, 46.94, 49.85, 49.22, 45.86, 49.64, 46.19, 52.55, 54.14, 55.24, 55.02, 57.78, 56.68, 56.26, 57.80, 55.58, 50.46, 54.30, 57.71, 58.12, 56.03, 54.38, 56.68, 59.07, 54.93, 55.45, 57.46, 55.51, 51.94, 52.82, 54.65, 55.54, 56.07, 56.57, 57.67, 58.69, 59.79, 60.47, 63.90, 69.39, 68.80, 62.96, 61.78, 60.48, 61.66, 69.17, 69.57, 70.99, 70.55, 69.23, 66.90, 67.99, 65.36, 68.42, 72.61, 68.63, 70.86
GE, 52.09, 52.09, 52.09, 61.17, 64.04, 64.04, 68.63, 65.70, 63.26, 64.37, 62.91, 64.09, 58.05, 57.73, 57.79, 58.42, 55.97, 45.64, 47.93, 38.98, 45.30, 45.01, 37.95, 47.75, 52.76, 51.42, 63.33, 66.66, 75.23, 77.95, 79.97, 86.52, 89.98, 90.22, 87.14, 85.68, 96.07, 100.67, 104.51, 123.83, 138.54, 160.03, 163.61, 157.49, 168.62, 173.29, 187.14, 170.72, 181.04, 165.76, 202.65, 206.04, 199.24, 201.00, 245.25, 256.70, 270.35, 274.86, 300.45, 308.95, 298.45, 288.42, 305.76
CVX, 68.89, 68.89, 68.89, 80.86, 85.93, 84.52, 85.11, 86.94, 84.50, 80.32, 85.34, 96.31, 94.95, 99.86, 111.75, 122.53, 140.01, 134.72, 150.18, 125.52, 141.99, 137.03, 125.69, 158.25, 160.36, 158.24, 153.41, 141.73, 145.11, 149.93, 133.96, 141.31, 146.98, 144.68, 152.89, 132.14, 130.21, 136.66, 135.08, 139.28, 146.10, 149.37, 150.33, 146.34, 150.13, 138.42, 139.32, 140.79, 153.19, 138.42, 142.58, 151.59, 161.65, 131.47, 132.09, 140.05, 148.31, 157.08, 153.57, 155.98, 149.46, 150.72, 149.26
UNH, 307.47, 307.47, 307.47, 306.22, 342.95, 368.89, 381.03, 370.41, 382.71, 386.47, 362.76, 429.00, 413.86, 467.82, 441.71, 444.79, 476.67, 476.75, 465.71, 481.51, 510.24, 488.59, 475.15, 523.93, 516.95, 500.36, 472.57, 450.56, 447.39, 467.51, 462.90, 456.63, 483.05, 454.63, 480.97, 512.88, 529.55, 504.18, 491.74, 474.31, 475.37, 466.63, 477.89, 491.29, 558.18, 571.79, 566.44, 548.83, 593.26, 491.82, 529.45, 463.54, 511.16, 403.27, 295.91, 305.77, 246.34, 305.87, 340.84, 339.28, 327.57, 334.48, 337.96
CSCO, 38.47, 38.47, 38.47, 39.03, 44.98, 44.28, 46.35, 46.43, 48.51, 52.07, 48.02, 49.38, 48.71, 56.28, 49.44, 49.83, 49.82, 43.76, 40.52, 38.36, 40.81, 40.59, 36.30, 41.23, 45.55, 43.64, 44.58, 44.71, 48.27, 43.63, 46.21, 48.13, 48.41, 53.76, 50.39, 48.86, 45.68, 47.70, 47.38, 46.02, 47.49, 44.70, 44.61, 45.57, 46.48, 48.90, 51.49, 52.99, 57.72, 57.71, 59.08, 62.92, 60.57, 56.66, 62.29, 68.55, 67.27, 68.68, 68.01, 72.67, 76.94, 79.27, 77.89
AZN, 45.15, 45.15, 45.15, 43.17, 45.22, 48.27, 51.63, 54.48, 52.06, 53.01, 55.06, 57.19, 50.27, 53.40, 53.37, 55.81, 61.83, 61.88, 61.96, 61.57, 61.72, 58.13, 51.47, 55.19, 63.79, 63.63, 61.35, 61.17, 66.09, 69.72, 69.58, 68.15, 68.27, 64.57, 64.90, 60.60, 61.90, 64.55, 63.87, 61.49, 65.93, 73.84, 75.92, 75.89, 77.02, 85.27, 76.28, 69.66, 66.21, 64.15, 69.28, 74.62, 72.99, 71.29, 72.33, 69.40, 72.59, 79.35, 76.72, 82.40, 92.72, 90.29, 90.94
IBM, 92.58, 92.58, 92.58, 92.44, 104.96, 111.75, 113.22, 116.75, 112.27, 111.78, 111.93, 100.78, 98.68, 114.14, 114.06, 104.62, 112.37, 114.26, 119.99, 123.50, 114.40, 112.36, 105.23, 122.49, 131.88, 126.28, 120.76, 115.89, 118.94, 114.69, 116.67, 123.06, 132.60, 135.04, 130.51, 134.55, 147.50, 153.87, 172.79, 174.08, 181.29, 157.79, 158.40, 165.83, 184.22, 193.80, 213.83, 199.94, 219.95, 214.29, 249.26, 246.08, 244.01, 237.30, 254.22, 291.19, 250.07, 240.53, 280.61, 305.72, 306.89, 310.74, 308.22
SAP, 116.13, 116.13, 116.13, 113.50, 112.99, 128.77, 128.76, 131.37, 134.42, 140.42, 126.30, 135.41, 120.13, 131.04, 117.11, 105.29, 103.78, 94.28, 93.38, 87.34, 89.74, 82.05, 78.22, 92.48, 106.74, 99.35, 114.12, 109.58, 121.84, 130.23, 125.58, 133.90, 133.45, 136.72, 126.57, 131.15, 155.74, 151.31, 169.42, 183.88, 190.89, 177.36, 178.56, 199.90, 209.70, 217.74, 227.05, 231.55, 235.47, 244.00, 273.59, 272.54, 266.03, 289.57, 300.15, 304.10, 286.70, 272.16, 267.21, 260.01, 241.75, 247.39, 245.73
WFC, 26.63, 26.63, 26.63, 32.24, 34.93, 40.28, 41.77, 40.58, 41.16, 40.95, 41.76, 46.04, 43.00, 43.34, 48.60, 48.21, 43.97, 39.59, 41.53, 35.74, 40.03, 39.88, 36.95, 42.25, 44.05, 38.18, 43.34, 43.24, 34.78, 36.99, 37.04, 40.02, 43.29, 38.72, 38.62, 37.59, 42.14, 46.93, 47.85, 53.01, 55.65, 56.96, 57.54, 57.36, 57.31, 56.47, 54.97, 63.18, 74.12, 68.75, 77.12, 76.65, 70.61, 69.84, 73.55, 79.24, 79.74, 81.27, 83.38, 86.52, 85.40, 92.59, 93.39
MS, 57.16, 57.16, 57.16, 65.87, 66.55, 70.74, 78.27, 78.90, 82.59, 90.53, 84.35, 89.10, 82.76, 85.68, 89.50, 79.75, 76.82, 70.83, 76.36, 67.43, 74.73, 76.26, 70.71, 73.53, 84.10, 76.82, 87.94, 87.90, 79.97, 81.95, 75.12, 78.46, 84.12, 78.95, 75.73, 65.67, 74.47, 87.52, 81.88, 81.55, 89.24, 86.10, 93.59, 92.96, 98.72, 100.00, 100.61, 112.20, 128.03, 122.30, 134.66, 130.35, 114.25, 113.02, 126.38, 139.04, 140.62, 149.57, 158.00, 163.01, 169.66, 180.29, 180.13
